G,GS,Position,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
23,5,2,202,5,13.2,0.378,1.2,4.5,0.28,3.7,8.7,0.429,1.8,2.5,0.714,1.1,2.7,3.7,1.8,1.2,0.5,2.5,4.3,13
28,0,5,203,4.3,14.7,0.289,0,0.2,0,4.3,14.5,0.293,3,3.2,0.944,3.4,3.9,7.3,0.9,1.1,0.7,2,3.7,11.5
32,1,2,214,3.7,11.8,0.314,0.8,2.5,0.333,2.9,9.3,0.309,3.4,5.6,0.606,0.2,3.4,3.5,1.2,0.7,0.5,2.5,4.5,11.6
26,0,4,220,4.1,9.2,0.446,0,0,0,4.1,9.2,0.446,2.8,3.6,0.773,2.1,4.1,6.2,1,0.2,0.2,2.5,8,11
31,0,1,220,5.4,15.4,0.351,2.1,6.1,0.351,3.3,9.3,0.351,2.5,3.4,0.714,0.3,1.6,2,7,0.5,0,2,3.6,15.4
17,0,4,222,7.1,13.5,0.53,0,0,0,7.1,13.5,0.53,5.7,7.1,0.795,3.4,6.8,10.2,0.8,0.5,1.8,2.9,5.7,19.9
20,1,1,227,7,16.5,0.423,3.3,8.7,0.382,3.6,7.8,0.469,0.3,0.5,0.667,0.3,3,3.3,1.6,1.9,0,2.1,4.3,17.6
33,0,4,231,4.2,10.9,0.386,0,0.9,0,4.2,10,0.422,3,4.1,0.731,3.1,5.8,8.9,3.3,1.6,0.2,2.5,8.3,11.4
31,0,4,231,2.5,8.7,0.286,1.2,5.1,0.242,1.2,3.6,0.348,0.9,2,0.462,2.5,5.9,8.4,1.2,0.8,0.5,1.4,5.5,7.2
24,0,5,234,2.9,7.1,0.413,0,0,0,2.9,7.1,0.413,0.3,0.5,0.667,2.2,5.2,7.4,0.8,1.2,2,2.6,7.4,6.2
21,0,2,241,2.4,8.1,0.296,0,0.3,0,2.4,7.8,0.308,2.8,3.3,0.864,1.3,4.9,6.3,2.5,1.9,0.1,2.4,4.2,7.6
24,0,5,244,3.4,8.9,0.383,0,0,0,3.4,8.9,0.383,3.5,5.2,0.686,1.8,4,5.8,2.1,0.3,0.9,3.4,5.8,10.3
27,2,5,244,2.2,6.3,0.349,0,0,0,2.2,6.3,0.349,0.4,1.5,0.3,3.1,7.4,10.5,1.9,0.7,0.9,2.1,6.6,4.9
29,0,3,246,5.6,12.6,0.442,3.1,6.9,0.447,2.5,5.7,0.436,1.6,1.8,0.917,0.4,2.9,3.4,2.3,0.7,0.3,1.3,3.2,15.8
28,0,5,248,3.9,9.4,0.415,0,0,0,3.9,9.4,0.415,2.6,4.2,0.621,3.2,6.4,9.6,1.5,0.9,0.3,2.5,5.7,10.5
41,0,2,254,3.3,8.8,0.371,0.3,1.6,0.182,3,7.2,0.412,2.1,3.5,0.6,1.7,4.5,6.2,3.1,2.4,0.6,4,5.4,8.9
17,0,2,256,5.2,11.4,0.457,0.7,2.8,0.25,4.5,8.6,0.525,2.7,3.2,0.826,1.5,3,4.5,3,1,0,3.1,4.6,13.8
23,7,5,258,2.8,7,0.4,0,0,0,2.8,7,0.4,2,3.3,0.583,3.3,5.6,8.9,0.3,1,1.5,2.9,4.7,7.5
38,0,4,271,5.6,9.8,0.568,0,0.1,0,5.6,9.7,0.575,1.2,2,0.6,3.5,6.4,9.8,0.3,0.8,0.5,3.9,3.5,12.4
30,0,4,271,0.7,2.4,0.278,0,0,0,0.7,2.4,0.278,0.9,2.5,0.368,4.6,3.6,8.2,0.8,0.8,1.1,1.6,5.7,2.3
31,0,2,272,3,9.5,0.319,0.7,3.8,0.172,2.4,5.7,0.419,4.5,5.6,0.81,0.7,2.3,2.9,3.7,0.9,0.1,3.8,4.4,11.3
41,11,5,273,4.4,10.4,0.418,0,0,0,4.4,10.4,0.418,1.3,2.4,0.556,2.8,5.9,8.7,0.4,0.8,2,3,9.6,10
33,0,4,277,2.9,9.1,0.314,1.4,4.2,0.344,1.4,4.9,0.289,2.1,2.3,0.889,1.6,3.9,5.5,1.8,0.9,0,1.8,4.8,9.2
31,0,2,278,2.5,8,0.306,0,0.3,0,2.5,7.8,0.317,3,3.5,0.852,1.3,4.9,6.2,2.5,2.2,0.3,2.1,4.1,7.9
26,0,1,288,4.2,10,0.425,2.3,6.2,0.36,2,3.7,0.533,1.5,1.9,0.8,0.4,1.9,2.3,4.4,0.5,0,1.6,3.4,12.2
30,0,4,289,5.1,9.7,0.526,0,0,0,5.1,9.7,0.526,2.7,3.7,0.733,2.1,6.5,8.6,2.2,0.6,1.5,3,5.4,13
30,0,5,309,3.4,9.3,0.363,0,0,0,3.4,9.3,0.363,3.6,5.5,0.66,1.7,4.4,6.2,2.1,0.7,0.9,3.3,5.9,10.4
26,2,2,309,4.3,11.8,0.366,1.4,5.1,0.273,2.9,6.6,0.439,3.1,3.6,0.871,0.6,1.9,2.4,7.1,1.5,0.1,3.6,2.6,13.2
28,1,4,313,4.8,9.8,0.494,2.1,5.1,0.409,2.8,4.7,0.585,2.9,3.1,0.926,1.5,5.3,6.8,3.6,2.5,0.1,2.6,4.8,14.6
41,3,4,318,4.5,12.1,0.374,0,0,0,4.5,12.1,0.374,2.9,3.4,0.867,1.7,3.5,5.2,1.9,0.6,0.3,2.5,5,12
26,1,5,333,5.8,9.5,0.614,0,0.1,0,5.8,9.4,0.621,2.5,6.8,0.365,5.5,6.9,12.4,0.2,0.5,1.7,1.6,5.5,14.2
44,5,3,336,4.6,10,0.462,0.1,1,0.111,4.5,9,0.5,2.5,4.4,0.561,2.4,3.7,6.1,1.7,1.2,0.1,1.9,6.3,11.8
22,7,1,339,3.4,8.8,0.386,0.7,2.3,0.318,2.7,6.5,0.41,2.3,2.7,0.88,0.1,2.2,2.3,4.8,0.7,0.2,2.4,3.2,9.9
30,0,1,345,3.7,9,0.407,2.1,5.2,0.4,1.6,3.8,0.417,0.4,0.6,0.667,1.1,3,4.2,3.2,1.3,0,1.4,2.1,9.8
27,9,4,352,4,10.4,0.382,0.2,2.4,0.087,3.8,8.1,0.468,2,2.7,0.769,2.6,4.6,7.2,0.8,0.7,1.1,1.3,5.8,10.2
35,5,2,352,2.3,7.7,0.293,0.9,3.9,0.237,1.3,3.8,0.351,2,2.9,0.714,0.3,3.3,3.6,3.8,1.2,0.4,1.7,3.3,7.5
37,0,4,353,4.4,9.5,0.462,0,0,0,4.4,9.5,0.462,3.1,4.3,0.714,2.4,6.5,9,2.1,0.5,1.2,3,6.2,11.8
42,0,1,359,4.8,12.6,0.381,1.2,5,0.24,3.6,7.6,0.474,1.1,1.5,0.733,1.1,2.6,3.7,1.5,1.5,0.4,1.5,2.1,11.9
40,2,2,361,3.2,8.9,0.36,0.4,1.8,0.222,2.8,7.1,0.394,3.1,4.5,0.689,0.8,2.1,2.9,1.3,1.2,0.5,1.9,2.2,9.9
47,1,2,369,5.5,13.7,0.4,0.3,1.7,0.176,5.2,12,0.431,1.1,2,0.524,1.4,3.8,5.2,4.4,1.7,0.3,2.4,3.3,12.3
37,13,2,373,3.9,11.2,0.345,0.7,3.1,0.219,3.2,8.1,0.393,1.4,2.2,0.609,1.1,2.3,3.4,2.4,1.1,0.4,2.7,5.8,9.7
38,7,4,374,2.8,5.1,0.547,0,0.1,0,2.8,5,0.558,1.7,2.1,0.818,2.6,5.6,8.2,0.7,0.7,1.3,1.7,5.4,7.3
53,0,4,376,2.9,7.9,0.366,0.3,1.3,0.214,2.6,6.5,0.397,2.1,2.8,0.759,3.4,6.7,10.1,1.6,1.4,1.6,1.6,4.3,8.1
26,2,1,379,3.9,10,0.39,0.9,2.2,0.391,3,7.8,0.39,4.5,5,0.887,0.3,1.7,2,4.3,1.6,0.3,2.2,2,13.1
44,1,5,380,2.9,6.3,0.47,0.1,0.2,0.5,2.8,6.1,0.469,0.6,0.9,0.6,2.6,5.1,7.7,1.7,0.4,2.7,0.9,6.7,6.5
47,0,1,383,5.8,14.7,0.397,1.4,5.5,0.254,4.4,9.1,0.485,1.4,1.8,0.789,0.8,2.5,3.4,3.1,1.6,0,1.4,3.6,14.5
48,0,5,385,5.4,12.5,0.433,0,0,0,5.4,12.5,0.433,3.5,6.2,0.561,4.2,7,11.2,2.6,0.8,1,3.9,7.4,14.3
36,7,5,390,2.7,6.6,0.403,0,0,0,2.7,6.6,0.403,2.4,3.6,0.667,3.9,5.7,9.6,0.5,0.7,1.1,2.2,4.7,7.8
47,2,4,405,4.4,6.8,0.645,0.3,0.6,0.429,4.1,6.1,0.667,3.3,4.2,0.787,1.9,4.7,6.6,1.4,1.1,1.6,2.8,5.8,12.3
42,1,1,408,4.2,11.6,0.366,1.8,5,0.351,2.5,6.5,0.378,2.2,3.3,0.676,0.5,2.1,2.6,5.7,1.3,0,1.9,2.8,12.4
38,5,4,418,3.7,5.8,0.642,0,0,0,3.7,5.8,0.642,2.8,4,0.702,4.1,5.1,9.2,0.9,0.8,1,1,5.3,10.2
39,7,3,419,4.3,13.2,0.325,1.6,7.6,0.216,2.7,5.7,0.47,1.4,1.8,0.762,0.9,4,4.9,1.5,1.4,1,2.3,3.4,11.6
13,13,3,425,7,16.6,0.423,2.9,7.1,0.405,4.2,9.5,0.438,2.6,3.2,0.816,0.9,3.6,4.6,0.9,0.7,0.3,1.6,2.5,19.6
41,0,2,432,5.1,11.7,0.433,1.5,4.3,0.346,3.6,7.4,0.483,2.3,2.7,0.844,0.2,2.1,2.3,4.4,1.4,0.1,1.5,2.7,13.9
50,3,1,444,4.4,12.2,0.358,1.3,4.9,0.262,3.1,7.3,0.422,3.4,4.3,0.792,0.6,2.9,3.5,5.7,1.1,0.1,2.2,4.5,13.5
24,3,2,449,3.4,9,0.384,0.6,2.2,0.259,2.9,6.8,0.424,1.8,2.1,0.846,0.6,2.1,2.6,4.2,1.4,0.3,1.4,3.3,9.2
49,0,1,450,2.6,7.8,0.327,0.5,2.2,0.214,2.1,5.6,0.371,1.9,3,0.649,0.6,2.6,3.2,6.6,1.8,0.6,2.5,4.1,7.5
41,0,4,460,2.7,4,0.667,0,0,0,2.7,4,0.667,1,1.7,0.591,3.7,4.6,8.3,1.3,1.3,0.5,1.6,4.5,6.3
46,6,5,464,2.6,5.7,0.446,0,0,0,2.6,5.7,0.446,1.3,2,0.654,4.6,6.1,10.6,0.9,0.8,2.6,1.2,4.6,6.4
56,0,5,473,1.8,3.3,0.535,0,0,0,1.8,3.3,0.535,1.1,2.2,0.517,2.7,4,6.6,0.8,0.8,0.8,1.6,7.6,4.6
48,6,5,475,3.6,6.4,0.565,0,0,0,3.6,6.4,0.565,0.8,1.9,0.44,3.9,5.7,9.5,1.4,0.8,3.8,1.7,4.6,8.1
62,0,2,492,4.3,13.1,0.33,2.4,7.5,0.324,1.9,5.6,0.338,1,1.2,0.875,0.5,2.8,3.3,2.6,1,0.4,1.4,4.8,12.1
61,8,2,495,5.5,9.8,0.556,0,0.1,0,5.5,9.7,0.56,1.7,2.6,0.667,2.5,3.1,5.6,0.9,1.2,0.3,1.6,3.4,12.7
45,1,1,503,6,14,0.429,0.4,2.1,0.172,5.7,12,0.473,3.4,4.3,0.8,0.7,2,2.7,4.3,1.6,0.2,2.9,5,15.8
43,4,4,534,3.7,8.9,0.417,0,0,0,3.7,8.9,0.417,1.1,2.2,0.485,3,4.2,7.2,0.8,0.5,1.6,1.5,5.1,8.5
47,4,1,534,4.4,9.5,0.468,0.3,1,0.333,4.1,8.5,0.484,2.2,2.8,0.786,1,2.6,3.6,5.3,1,0.3,2.1,3.6,11.5
42,2,4,538,5.6,12.2,0.454,0,0,0,5.6,12.2,0.454,5.2,6.4,0.802,3.6,5.8,9.4,1.3,0.3,1,3.3,5.8,16.3
53,18,1,539,4.3,9.6,0.448,0.3,1.1,0.313,3.9,8.5,0.465,1.6,2.3,0.686,1,2.4,3.4,3,1.6,0.3,2.1,4.1,10.5
29,8,1,543,3.8,9.1,0.416,0.5,1.7,0.269,3.3,7.4,0.45,2.1,3,0.674,0.8,3.7,4.5,5.9,1.4,0.3,3.4,5.2,10.1
18,18,4,544,5.9,15.2,0.387,0.1,0.3,0.4,5.8,14.9,0.387,1.2,1.9,0.643,2.4,7.4,9.9,4,1.2,1,2.2,2.4,13.1
34,6,1,554,4.8,12.7,0.379,1.8,5.2,0.35,3,7.5,0.4,1.7,2.1,0.813,0.5,2.6,3.1,4.7,0.9,0.1,2.6,1.5,13.1
37,0,2,554,4,11.5,0.35,1.3,4.9,0.267,2.7,6.6,0.412,2.6,3.8,0.69,0.9,2.1,3.1,2.5,1.7,0.5,2.6,4.6,12
46,3,2,556,4.9,10.4,0.469,1.2,3.4,0.365,3.6,7,0.519,0.7,1.3,0.55,2.1,3.2,5.4,1.4,0.4,0.5,1.6,4.5,11.7
29,14,2,561,3.7,9.7,0.377,1.4,4.7,0.297,2.2,4.9,0.455,1.6,2.2,0.735,0.9,3,3.9,2.1,1.4,0.1,1.5,3.5,10.3
40,0,1,562,3.8,9.4,0.411,0.7,1.9,0.379,3.1,7.5,0.419,1.3,1.9,0.724,0.8,2.2,3.1,5,1,0.1,2,4.4,9.7
58,1,1,563,4.3,11,0.39,1.3,4.2,0.323,2.9,6.8,0.43,2.4,3.5,0.673,1,3.6,4.5,3.1,1.8,0.3,2.1,4.1,12.3
39,1,3,563,4.2,9.3,0.452,0.7,2.8,0.25,3.5,6.5,0.539,3.1,4.8,0.653,1.1,4.2,5.3,2.5,0.7,0.8,1.7,3.3,12.3
33,2,1,583,2.8,8,0.349,1.2,4.2,0.279,1.6,3.8,0.426,0.7,1.2,0.55,0.4,2.3,2.8,5.2,0.6,0.2,1.7,3,7.4
54,1,3,585,3.8,7.9,0.473,0,0.4,0,3.8,7.6,0.496,0.9,1.2,0.789,2.5,4.2,6.7,3.6,2,0.2,2.3,4.8,8.4
28,1,3,590,5.2,12.6,0.411,0.1,0.4,0.143,5.1,12.2,0.42,2.8,5,0.561,1.6,5.7,7.3,1.9,1.5,0.8,3.5,3.8,13.2
42,0,1,622,4.6,11.3,0.41,2.2,5.7,0.388,2.4,5.6,0.433,3.1,3.5,0.9,0.6,2.4,3,2.1,0.7,0,1.2,3,14.6
56,5,5,634,3.9,7.1,0.544,0,0,0,3.9,7.1,0.544,2.3,3.8,0.597,3.3,5.2,8.5,0.6,0.7,1.5,2,4.5,10
60,1,4,638,6,14.6,0.415,0,0.1,0,6,14.5,0.416,1.6,1.9,0.824,2.4,4.3,6.7,0.9,1,0.9,1.2,4.8,13.7
15,15,1,640,8.5,20.6,0.413,0.7,3,0.226,7.8,17.6,0.444,8.7,9.8,0.885,0.4,1.9,2.3,6.1,1.9,0.1,3.7,1.2,26.3
56,0,4,653,5.8,13.1,0.447,2,5.2,0.383,3.9,7.9,0.49,1.5,2.1,0.711,3.5,5.1,8.6,1.2,0.9,0.6,1.4,3.7,15.2
37,1,2,664,4.9,12,0.412,1.7,4.7,0.372,3.2,7.3,0.437,3.2,3.5,0.922,0.5,2.1,2.6,6,0.7,0,3.2,2.9,14.8
58,8,4,666,3.5,6.9,0.508,0,0.1,0,3.5,6.9,0.512,3.2,4.1,0.787,2.6,4.7,7.4,0.6,0.6,2.3,1.4,6.7,10.2
26,17,4,667,4.4,9.7,0.45,1.2,3.2,0.373,3.2,6.5,0.488,2.5,3.6,0.712,2,6.5,8.5,3.2,1.1,0.9,1.6,3.4,12.5
41,9,2,669,5.3,11.8,0.445,1.8,4.3,0.43,3.4,7.6,0.454,3.3,4.2,0.782,1.4,3.7,5.1,1.5,1.2,0.5,2.1,2.6,15.7
61,0,4,669,5.3,9.2,0.579,0,0,0,5.3,9.2,0.579,3,5.5,0.544,3.4,6,9.5,0.5,0.6,1.1,1.8,5.1,13.7
60,2,4,670,4.7,9.9,0.47,0,0,0,4.7,9.9,0.47,2.8,4.2,0.671,4.2,5.9,10,1,0.8,1.1,1.7,5.3,12.2
56,14,2,675,5.4,10.3,0.528,0,0.5,0,5.4,9.8,0.554,3,4.4,0.675,2,2,4,1.3,2,0.3,1.3,2.3,13.9
56,13,4,682,4.5,10.4,0.437,0.2,1.4,0.148,4.3,9,0.482,1.6,2.6,0.612,4.1,6,10.1,2.1,0.9,1.7,2.6,5,10.9
26,5,2,683,5.8,13.7,0.425,1.4,4.4,0.325,4.4,9.3,0.472,2.2,2.3,0.932,0.6,3.3,3.8,2.2,1.4,0.1,1.3,3.4,15.2
61,0,1,688,4.9,11,0.441,0.6,1.9,0.324,4.2,9.1,0.466,3.3,4.8,0.696,0.9,2.8,3.7,5.8,1.2,0.1,2.4,2.2,13.7
56,0,5,698,4.2,9,0.469,0,0.1,0,4.2,9,0.471,1.9,2.1,0.878,2.3,5.7,8,1.1,0.9,0.8,1.5,5,10.3
37,1,4,700,6.1,11.6,0.524,0,0.1,0,6.1,11.5,0.529,2.4,2.8,0.852,2.3,4.6,6.9,2,0.9,0.5,2.2,5.4,14.5
43,43,5,701,1.9,4,0.474,0,0,0,1.9,4,0.474,0.5,1.4,0.37,3,5.6,8.6,0.6,0.5,3.4,2.1,6.4,4.3
38,3,1,702,3.6,9.3,0.392,0.1,0.4,0.125,3.6,8.9,0.405,1.1,1.6,0.688,0.7,2.5,3.2,6.4,0.7,0,2.2,3.7,8.5
47,5,2,710,5.1,13.1,0.386,2.4,5.9,0.414,2.6,7.3,0.364,2.1,2.8,0.764,0.9,2.6,3.5,2.2,1,0.2,2.1,4.3,14.7
61,3,1,712,3.3,8.1,0.404,0.7,2.2,0.318,2.6,5.9,0.436,1.8,2.3,0.778,0.5,3.2,3.7,4.6,1.6,0.2,2.5,3.1,9.1
48,9,1,718,3.7,9.4,0.388,0.8,2.3,0.356,2.9,7.2,0.399,3.5,3.9,0.885,0.2,2,2.2,4.5,1.2,0.3,2.3,2.6,11.6
54,0,4,720,4.6,9.5,0.489,0.5,1.5,0.333,4.1,8,0.519,1.5,1.8,0.811,2.6,5.5,8.1,0.9,1.6,0.9,1.4,5,11.3
63,2,5,720,3.9,8.8,0.446,0,0.1,0,3.9,8.7,0.451,5.3,7.2,0.736,4.8,5.9,10.7,0.5,0.7,1.1,2.3,5.2,13.2
61,2,4,727,3.9,11,0.351,1.3,4.5,0.286,2.6,6.5,0.397,2.2,2.6,0.865,1.6,7.6,9.2,2.2,0.7,0.3,1.6,3.4,11.2
27,17,1,739,4,9.6,0.416,0.7,2.1,0.318,3.3,7.5,0.444,1.2,1.6,0.781,0.4,2.1,2.6,6,0.8,0.1,2.2,2.5,9.9
52,0,1,745,4.5,11.8,0.385,1.8,5.8,0.319,2.7,6,0.448,1.4,1.6,0.909,0.4,1.8,2.3,4.5,1.6,0.3,1.7,2.7,12.4
23,22,1,746,4.1,9.4,0.438,0.2,1.1,0.174,3.9,8.3,0.474,1.5,1.7,0.889,0.6,3.4,4,4.5,2,0,1.6,2.9,9.9
59,19,4,753,4.4,8.1,0.538,0,0,0,4.4,8.1,0.538,3.7,5.6,0.661,2.4,6.3,8.7,0.8,1.2,1.7,2.2,6.5,12.4
59,2,4,760,6,12.6,0.477,0,0,0,6,12.6,0.477,5.3,6.6,0.8,3.6,6.1,9.6,1.2,0.4,1.2,3.2,5.8,17.3
64,4,1,760,3.4,7.9,0.425,0,0.1,0.5,3.3,7.8,0.424,2.3,3.1,0.754,0.4,2.8,3.2,6.2,1.1,0.1,1.9,3.5,9.1
51,33,5,773,5.5,10.3,0.532,0,0,0,5.5,10.3,0.532,2.3,3.8,0.61,4.1,6.5,10.7,0.4,1.3,1.9,2,6.2,13.3
52,9,3,777,4,10.6,0.382,0.6,2.2,0.277,3.4,8.4,0.409,2.2,3.8,0.585,1.3,3.5,4.8,3.8,1.5,0.1,2.6,3.5,10.9
68,0,4,792,3,8,0.367,0.8,2.4,0.321,2.2,5.6,0.387,1.7,2,0.86,1.9,3.7,5.6,3,1.1,0.4,1.8,3.5,8.4
45,4,2,800,5.8,12.6,0.459,0.3,1.2,0.231,5.5,11.5,0.482,2.5,3.6,0.7,1.2,2.5,3.7,2.6,1.2,0.3,2.5,2.5,14.4
33,18,2,805,5.9,11.6,0.514,0.4,1.5,0.242,5.6,10.1,0.553,4.7,6,0.784,1.6,4,5.5,2.5,2.2,0.5,3.4,3.9,16.9
65,2,4,810,3.3,8.3,0.398,0.1,0.4,0.25,3.2,7.9,0.404,1.9,2.3,0.808,2.1,5.7,7.8,2.9,1.2,0.4,2.9,5.3,8.5
23,23,1,822,5.1,10.9,0.472,0.2,0.7,0.25,4.9,10.2,0.487,2.7,3.7,0.729,1.1,3.5,4.6,9.2,1.6,0.2,3.1,2.5,13.1
58,40,5,838,5.2,11.8,0.445,0,0.1,0.333,5.2,11.6,0.446,1.8,2.9,0.632,3.4,4.5,7.9,1,0.5,1,1.6,6.9,12.4
35,8,4,838,7,14.1,0.5,0.1,0.1,0.667,7,14,0.498,3.7,4.8,0.768,3.1,6.9,10,2.8,0.8,1,2.4,4.3,17.9
54,8,5,840,4.6,9.8,0.474,0,0,0,4.6,9.7,0.476,1.8,3.9,0.467,4,6.5,10.5,1.2,0.9,1.4,2.1,6,11.1
36,22,1,846,4.3,9.5,0.446,0.3,1.2,0.241,4,8.3,0.477,1.8,2,0.894,0.6,3.6,4.2,4.4,1.9,0,1.6,3.5,10.6
26,26,5,848,7.2,13.7,0.526,0,0,0,7.2,13.7,0.528,3.7,5.1,0.711,2.2,5.3,7.5,2,0.4,1,2.2,3.7,18.1
67,1,1,862,4.2,10,0.423,1,3.5,0.282,3.2,6.4,0.5,0.9,1.1,0.808,0.8,3,3.8,9.1,1.5,0.1,3.2,3,10.3
71,4,2,868,4.5,10.6,0.426,0.6,1.7,0.357,3.9,8.9,0.439,1,1.9,0.511,1.5,4.9,6.3,2.5,1.4,0.5,2.5,4.1,10.6
39,9,2,870,4,10.3,0.386,1.3,4.2,0.317,2.6,6.1,0.432,3,3.6,0.83,0.7,2.7,3.4,2.3,1.2,0.5,2.1,3.3,12.3
31,4,1,877,6.4,15.5,0.413,1.7,4.5,0.373,4.7,11,0.429,4.9,5.4,0.908,0.9,1.6,2.6,5.4,1,0.1,2.1,1.3,19.4
32,19,3,900,6.4,15.5,0.415,1.8,4.2,0.415,4.7,11.3,0.415,4.5,5,0.897,0.6,3.3,3.9,2.2,0.7,0.1,2.2,2.6,19.2
82,9,5,913,3,6.7,0.441,0,0,0,3,6.7,0.441,2.1,3.3,0.651,2.8,3.9,6.7,2.4,0.5,0.3,1.5,5.8,8
53,23,1,919,3.2,7.3,0.433,0,0.1,0,3.2,7.2,0.438,1.4,1.8,0.822,0.3,2.6,2.9,5.1,0.8,0,1.8,3,7.8
73,4,2,935,4,10.3,0.392,2.3,6.2,0.373,1.7,4.1,0.421,1.7,1.9,0.878,1.1,3,4.1,2.5,1.6,0,1.2,4,12.1
48,12,4,936,6.7,12.7,0.527,2,4.4,0.461,4.7,8.3,0.563,1.6,2,0.774,1.1,4.3,5.3,1,0.7,0.3,1.2,2.9,17
67,8,5,943,5,10,0.5,0,0,0,5,10,0.5,2.7,5.2,0.526,3.4,3.7,7.1,0.5,1.1,2.3,2,4.2,12.8
56,1,2,946,6.8,16,0.428,2.9,6.7,0.429,4,9.4,0.427,1.3,1.4,0.917,0.5,3,3.5,2.5,1,0.1,1,2.6,17.8
73,1,1,948,4.8,13.1,0.369,1.3,4.4,0.287,3.6,8.7,0.41,2,2.3,0.883,0.4,2.7,3.1,4.6,1,0,2.1,2.7,12.9
50,1,5,955,3.1,8.2,0.372,0.9,2.5,0.379,2.1,5.7,0.368,0.6,1.4,0.444,1.2,3.4,4.6,1.9,0.5,0.9,1.1,3.7,7.7
72,4,4,966,5,10.5,0.475,0,0.1,0,5,10.4,0.479,4,6.5,0.606,3.3,6.7,10,1.5,1.7,2.8,3.5,6,13.9
48,12,2,967,5.2,11.3,0.457,0.5,1.7,0.283,4.7,9.6,0.488,2.9,3.6,0.796,1.1,2.5,3.6,1.5,2,0,1.7,2.1,13.7
54,18,4,969,3.5,7.7,0.452,0,0.1,0,3.5,7.7,0.456,3.5,4.9,0.725,3.8,5.9,9.7,1.1,1.3,0.5,1.3,4.9,10.5
66,14,4,973,5.1,13.4,0.383,2,5.5,0.365,3.1,8,0.395,2.6,3.3,0.787,2.1,4.8,7,1.8,1,0.6,1.9,5.4,14.9
63,3,2,973,4.7,11.9,0.398,1.6,4.8,0.338,3.1,7.1,0.438,3.2,3.5,0.905,0.6,2,2.6,6.4,1,0,3.3,2.8,14.3
39,17,4,984,6.6,14,0.47,1.1,3.1,0.337,5.5,10.9,0.508,2.7,3.3,0.82,2.3,6.1,8.3,1.3,0.9,0.4,2,4,16.9
